location_id,zone,borough,centroid_x,centroid_y,zipcode,county,neighborhood,median_household_income,median_home_value,population,population_density
107,Gramercy,Manhattan,-73.98426922264278,40.73670614808919,10009,New York County,Lower East Side,59929.0,672800.0,61347,99492.0
108,Gravesend,Brooklyn,-73.98862023769573,40.586562108828076,11224,Kings County,Southern Brooklyn,27481.0,317800.0,47621,30841.0
109,Great Kills,Staten Island,-74.14351665280611,40.543050553209525,10308,Richmond County,South Shore,88075.0,452600.0,27357,13864.0
110,Great Kills Park,Staten Island,-74.12998068179232,40.540365552552764,10308,Richmond County,South Shore,88075.0,452600.0,27357,13864.0
111,Green-Wood Cemetery,Brooklyn,-73.99066289428563,40.653079177857045,11218,Kings County,Borough Park,52445.0,546300.0,75220,52664.0
112,Greenpoint,Brooklyn,-73.95632438416925,40.72934042033693,11222,Kings County,Greenpoint,63739.0,726500.0,36934,24232.0
113,Greenwich Village North,Manhattan,-73.99420245699989,40.73190725302693,10003,New York County,Lower East Side,92540.0,817700.0,56024,97188.0
114,Greenwich Village South,Manhattan,-73.99696399176183,40.727634697071345,10012,New York County,Greenwich Village and Soho,86594.0,1000001.0,24090,74517.0
115,Grymes Hill/Clifton,Staten Island,-74.08447422989715,40.61892170080833,10305,Richmond County,Stapleton and St. George,70758.0,415300.0,41749,9819.0
116,Hamilton Heights,Manhattan,-73.95072730174479,40.827919961007574,10031,New York County,Inwood and Washington Heights,37655.0,369800.0,56438,86722.0
117,Hammels/Arverne,Queens,-73.7913161867077,40.59682815827483,11692,Queens County,Rockaways,43354.0,355800.0,18540,18566.0
118,Heartland Village/Todt Hill,Staten Island,-74.12842852830563,40.5885485022425,10306,Richmond County,South Shore,75807.0,450200.0,55909,7481.0
119,Highbridge,Bronx,-73.92626403765132,40.83793777073582,10452,Bronx County,High Bridge and Morrisania,25979.0,402800.0,75371,76548.0
120,Highbridge Park,Manhattan,-73.93132296251537,40.84486112583495,10032,New York County,Inwood and Washington Heights,34568.0,334900.0,57331,87199.0
149,Madison,Brooklyn,-73.94644375217577,40.605565242010876,11229,Kings County,Southern Brooklyn,51725.0,524100.0,80018,36934.0
150,Manhattan Beach,Brooklyn,-73.94123010827566,40.58124707174358,11235,Kings County,Southern Brooklyn,41639.0,531000.0,79132,35237.0
121,Hillcrest/Pomonok,Queens,-73.80535975342914,40.72835742080354,11366,Queens County,Central Queens,71350.0,610100.0,13532,12362.0
122,Hollis,Queens,-73.76402059250488,40.710434105188014,11423,Queens County,Jamaica,60892.0,422200.0,29987,21254.0
123,Homecrest,Brooklyn,-73.96472989029621,40.59826462781473,11223,Kings County,Southern Brooklyn,41328.0,613000.0,78731,37956.0
124,Howard Beach,Queens,-73.85099642131365,40.654135445745354,11414,Queens County,Southwest Queens,66790.0,501700.0,26148,11370.0
126,Hunts Point,Bronx,-73.88912911814516,40.80736387590047,10474,Bronx County,Hunts Point and Mott Haven,25676.0,351800.0,12281,8010.0
127,Inwood,Manhattan,-73.91961479740726,40.85953989760499,10034,New York County,Inwood and Washington Heights,41171.0,354700.0,38908,34544.0
128,Inwood Hill Park,Manhattan,-73.9224837030466,40.876727007521346,10463,Bronx County,Kingsbridge and Riverdale,54258.0,289700.0,67970,47002.0
129,Jackson Heights,Queens,-73.88718209194262,40.75947494033324,11372,Queens County,West Queens,48683.0,265500.0,66636,90360.0
134,Kew Gardens,Queens,-73.83162045185864,40.70855464641296,11415,Queens County,Southwest Queens,63549.0,289800.0,19341,34042.0
151,Manhattan Valley,Manhattan,-73.97100993152024,40.7993770621872,10025,New York County,Upper West Side,68516.0,934600.0,94600,125860.0
130,Jamaica,Queens,-73.79052743458277,40.706137874803616,11433,Queens County,Jamaica,42887.0,379700.0,32687,21062.0
139,Laurelton,Queens,-73.74506711581958,40.676718228508115,11413,Queens County,Southeast Queens,78667.0,406200.0,38912,12553.0
131,Jamaica Estates,Queens,-73.77782421038718,40.71954553290466,11423,Queens County,Jamaica,60892.0,422200.0,29987,21254.0
132,JFK Airport,Queens,-73.75624035803072,40.63812113501789,11422,Queens County,Southeast Queens,84824.0,413800.0,30425,15456.0
133,Kensington,Brooklyn,-73.97651004580256,40.64073359643413,11218,Kings County,Borough Park,52445.0,546300.0,75220,52664.0
140,Lenox Hill East,Manhattan,-73.95571997200136,40.76390679108292,10021,New York County,Upper East Side,107907.0,1000001.0,43631,112711.0
135,Kew Gardens Hills,Queens,-73.82087673493646,40.72787583881263,11367,Queens County,Central Queens,56608.0,376400.0,41047,17252.0
136,Kingsbridge Heights,Bronx,-73.90776106862906,40.86512432789065,10468,Bronx County,Bronx Park and Fordham,33776.0,171200.0,76103,70778.0
137,Kips Bay,Manhattan,-73.97382133463047,40.737884681111716,10016,New York County,Gramercy Park and Murray Hill,105324.0,759600.0,54183,101814.0
141,Lenox Hill West,Manhattan,-73.96011264961102,40.765619987314714,10065,New York County,Upper East Side,115519.0,1000001.0,32270,83533.0
142,Lincoln Square East,Manhattan,-73.98229597835798,40.77131375940732,10019,New York County,Chelsea and Clinton,84424.0,808600.0,42870,63042.0
152,Manhattanville,Manhattan,-73.95613224835144,40.819640190628526,10030,New York County,Central Harlem,31925.0,509000.0,26999,96790.0
138,LaGuardia Airport,Queens,-73.87818911930803,40.778683435466085,11370,Queens County,West Queens,52500.0,517100.0,39688,27899.0
143,Lincoln Square West,Manhattan,-73.99006535672832,40.77639415945142,10069,New York County,,170630.0,966600.0,5199,49908.0
144,Little Italy/NoLiTa,Manhattan,-73.99667510082044,40.72097021682043,10012,New York County,Greenwich Village and Soho,86594.0,1000001.0,24090,74517.0
145,Long Island City/Hunters Point,Queens,-73.9548810003067,40.7425155708542,11109,Queens County,,125871.0,428600.0,3523,87802.0
146,Long Island City/Queens Plaza,Queens,-73.93579074172052,40.753119915941085,11106,Queens County,Northwest Queens,48720.0,433600.0,38875,45359.0
147,Longwood,Bronx,-73.89856557768645,40.81974319807455,10474,Bronx County,Hunts Point and Mott Haven,25676.0,351800.0,12281,8010.0
148,Lower East Side,Manhattan,-73.99121829709992,40.71826706967135,10002,New York County,Lower East Side,33218.0,535600.0,81410,92573.0
153,Marble Hill,Manhattan,-73.91181743207267,40.87456934756944,10468,Bronx County,Bronx Park and Fordham,33776.0,171200.0,76103,70778.0
154,Marine Park/Floyd Bennett Field,Brooklyn,-73.91596815659648,40.59218507505957,11229,Kings County,Southern Brooklyn,51725.0,524100.0,80018,36934.0
155,Marine Park/Mill Basin,Brooklyn,-73.90199773984635,40.61324888898371,11234,Kings County,Canarsie and Flatlands,68431.0,488200.0,87757,11627.0
156,Mariners Harbor,Staten Island,-74.16690539043715,40.6416621201049,10303,Richmond County,Port Richmond,51537.0,325100.0,26337,8395.0
159,Melrose South,Bronx,-73.91345145068446,40.819890777201245,10451,Bronx County,High Bridge and Morrisania,26754.0,170600.0,45713,45043.0
157,Maspeth,Queens,-73.90391721148781,40.72350304757724,11378,Queens County,West Queens,57474.0,538600.0,34981,13697.0
158,Meatpacking/West Village West,Manhattan,-74.01048596077104,40.73689618882252,10014,New York County,Greenwich Village and Soho,108483.0,947300.0,31959,56119.0
160,Middle Village,Queens,-73.88297626085782,40.71934478745253,11379,Queens County,West Central Queens,69843.0,543800.0,34821,16785.0
161,Midtown Center,Manhattan,-73.97734956618415,40.757752716131506,10111,New York County,,,,0,
162,Midtown East,Manhattan,-73.97262465557134,40.756517096203986,10171,New York County,,,,0,
163,Midtown North,Manhattan,-73.9787569469772,40.76556053479537,10153,New York County,,,,0,
164,Midtown South,Manhattan,-73.98474777346333,40.74853196343893,10001,New York County,Chelsea and Clinton,81671.0,650200.0,21102,33959.0
170,Murray Hill,Manhattan,-73.97830323301744,40.747472556701666,10017,New York County,Gramercy Park and Murray Hill,100652.0,637100.0,16575,51775.0
165,Midwood,Brooklyn,-73.95822171558687,40.62171533036947,11230,Kings County,Borough Park,42170.0,598000.0,86408,46966.0
166,Morningside Heights,Manhattan,-73.9636125203845,40.810671030378124,10115,New York County,,,,0,
167,Morrisania/Melrose,Bronx,-73.90502042853323,40.82566879911504,10456,Bronx County,High Bridge and Morrisania,23452.0,388600.0,86547,84979.0
178,Ocean Parkway South,Brooklyn,-73.97150439948601,40.61784697466657,11230,Kings County,Borough Park,42170.0,598000.0,86408,46966.0
168,Mott Haven/Port Morris,Bronx,-73.90324577854359,40.80048800135745,10455,Bronx County,Hunts Point and Mott Haven,22609.0,318600.0,39665,55696.0
169,Mount Hope,Bronx,-73.90635890451844,40.84814861093819,10453,Bronx County,Central Bronx,25470.0,445200.0,78309,85491.0
171,Murray Hill-Queens,Queens,-73.80758324504947,40.768050651289165,11354,Queens County,North Queens,46566.0,380600.0,54878,25324.0
172,New Dorp/Midland Beach,Staten Island,-74.10462648201356,40.5688969556562,10306,Richmond County,South Shore,75807.0,450200.0,55909,7481.0
173,North Corona,Queens,-73.86145876862659,40.75417939234658,11369,Queens County,West Queens,53617.0,464500.0,38615,36170.0
174,Norwood,Bronx,-73.88201558324992,40.87866465781809,10467,Bronx County,Bronx Park and Fordham,36048.0,369500.0,97060,41649.0
175,Oakland Gardens,Queens,-73.75525834025697,40.74364593168266,11364,Queens County,Northeast Queens,72909.0,510800.0,34555,14013.0
179,Old Astoria,Queens,-73.93012305797602,40.772395102261086,11102,Queens County,Northwest Queens,49924.0,597700.0,34133,42255.0
176,Oakwood,Staten Island,-74.12135895690838,40.56455419509825,10306,Richmond County,South Shore,75807.0,450200.0,55909,7481.0
177,Ocean Hill,Brooklyn,-73.91202939695621,40.677068211293644,11233,Kings County,Central Brooklyn,34492.0,551900.0,67053,49746.0
180,Ozone Park,Queens,-73.84852847556859,40.67630724147049,11417,Queens County,Southwest Queens,62086.0,442900.0,28967,25886.0
181,Park Slope,Brooklyn,-73.98067035444839,40.67074530695748,11215,Kings County,Northwest Brooklyn,95654.0,913200.0,63488,29148.0
182,Parkchester,Bronx,-73.85863371434993,40.83709465826657,10462,Bronx County,Southeast Bronx,45864.0,271300.0,75784,51207.0
183,Pelham Bay,Bronx,-73.83110403455547,40.84936888565269,10461,Bronx County,Southeast Bronx,52347.0,454700.0,50502,21045.0
184,Pelham Bay Park,Bronx,-73.78211492262396,40.86720104118668,10464,Bronx County,Southeast Bronx,70078.0,484000.0,4534,1295.0
185,Pelham Parkway,Bronx,-73.85295520236144,40.854369758123,10462,Bronx County,Southeast Bronx,45864.0,271300.0,75784,51207.0
186,Penn Station/Madison Sq West,Manhattan,-73.99199923695822,40.74858480358325,10001,New York County,Chelsea and Clinton,81671.0,650200.0,21102,33959.0
189,Prospect Heights,Brooklyn,-73.96813104653077,40.67670843935793,11238,Kings County,Central Brooklyn,65315.0,656800.0,49262,44555.0
190,Prospect Park,Brooklyn,-73.97256948695825,40.661061138051195,11225,Kings County,Flatbush,42922.0,615700.0,56829,64295.0
187,Port Richmond,Staten Island,-74.12441651858946,40.64011225155275,10310,Richmond County,Port Richmond,61925.0,414600.0,24962,13903.0
188,Prospect-Lefferts Gardens,Brooklyn,-73.9480913530336,40.65874201122463,11225,Kings County,Flatbush,42922.0,615700.0,56829,64295.0
191,Queens Village,Queens,-73.74242883808012,40.716929521619335,11428,Queens County,Southeast Queens,69330.0,407700.0,19168,23021.0
192,Queensboro Hill,Queens,-73.81465247430954,40.74406129735978,11355,Queens County,North Queens,41884.0,507500.0,85871,49492.0
193,Queensbridge/Ravenswood,Queens,-73.93909312925491,40.76274259483616,11106,Queens County,Northwest Queens,48720.0,433600.0,38875,45359.0
194,Randalls Island,Manhattan,-73.92573914151377,40.79182861039341,10035,New York County,East Harlem,24533.0,445900.0,33969,24329.0
196,Rego Park,Queens,-73.86395836116249,40.72617053246332,11374,Queens County,West Central Queens,52532.0,297300.0,43600,46664.0
195,Red Hook,Brooklyn,-74.01303185738682,40.67444683810141,11231,Kings County,Northwest Brooklyn,78174.0,912000.0,33336,23441.0
203,Rosedale,Queens,-73.74492430236542,40.6440908840353,11516,Nassau County,,85985.0,561700.0,7556,8650.0
197,Richmond Hill,Queens,-73.82909581332206,40.695485450758305,11418,Queens County,Southwest Queens,60691.0,427000.0,36256,22201.0
198,Ridgewood,Queens,-73.9041678978622,40.70735961699393,11237,Kings County,Bushwick and Williamsburg,40372.0,464500.0,49896,50927.0
199,Rikers Island,Bronx,-73.88068296554155,40.793489267559615,11370,Queens County,West Queens,52500.0,517100.0,39688,27899.0
212,Soundview/Bruckner,Bronx,-73.86816614097555,40.82796669213,10472,Bronx County,Southeast Bronx,30288.0,429600.0,66358,63167.0
213,Soundview/Castle Hill,Bronx,-73.84604707684642,40.818231505729486,10473,Bronx County,Southeast Bronx,35866.0,386600.0,58519,26846.0
200,Riverdale/North Riverdale/Fieldston,Bronx,-73.90818464748966,40.8989488341632,10471,Bronx County,Kingsbridge and Riverdale,71798.0,360800.0,22922,8878.0
204,Rossville/Woodrow,Staten Island,-74.2088459533494,40.53992337053872,10309,Richmond County,South Shore,86297.0,539100.0,32519,4840.0
201,Rockaway Park,Queens,-73.83824585815488,40.57875329234348,11694,Queens County,Rockaways,76944.0,623200.0,20408,14944.0
202,Roosevelt Island,Manhattan,-73.95021026144616,40.76176295207693,11106,Queens County,Northwest Queens,48720.0,433600.0,38875,45359.0
205,Saint Albans,Queens,-73.76427255413257,40.69287531816105,11412,Queens County,Jamaica,70672.0,385700.0,34882,21186.0
206,Saint George/New Brighton,Staten Island,-74.0999403212691,40.64055721778457,10301,Richmond County,Stapleton and St. George,56848.0,402300.0,39706,10852.0
207,Saint Michaels Cemetery/Woodside,Queens,-73.89765319869635,40.76376514860704,11103,Queens County,Northwest Queens,55129.0,648900.0,38780,54537.0
208,Schuylerville/Edgewater Park,Bronx,-73.8310289986949,40.830124261561735,10465,Bronx County,Southeast Bronx,65450.0,437800.0,42230,12313.0
