zipcode,neighborhood,county,median_household_income,median_home_value,population,population_density
10005,Lower Manhattan,New York County,124670.0,1000001.0,7135.0,97048.0
10006,Lower Manhattan,New York County,119274.0,714300.0,3011.0,32796.0
10007,Lower Manhattan,New York County,216037.0,1000001.0,6988.0,42751.0
10038,Lower Manhattan,New York County,66074.0,616300.0,20300.0,68214.0
10280,Lower Manhattan,New York County,129574.0,685700.0,7853.0,56710.0
10002,Lower East Side,New York County,33218.0,535600.0,81410.0,92573.0
10003,Lower East Side,New York County,92540.0,817700.0,56024.0,97188.0
10009,Lower East Side,New York County,59929.0,672800.0,61347.0,99492.0
10021,Upper East Side,New York County,107907.0,1000001.0,43631.0,112711.0
10028,Upper East Side,New York County,104638.0,1000001.0,45141.0,143683.0
10044,Upper East Side,New York County,83066.0,580400.0,11661.0,48251.0
10065,Upper East Side,New York County,115519.0,1000001.0,32270.0,83533.0
10075,Upper East Side,New York County,102941.0,805300.0,26121.0,141546.0
10128,Upper East Side,New York County,96296.0,1000001.0,60453.0,128441.0
10023,Upper West Side,New York County,103534.0,872500.0,60998.0,124357.0
10024,Upper West Side,New York County,109956.0,1000001.0,59283.0,69106.0
10025,Upper West Side,New York County,68516.0,934600.0,94600.0,125860.0
10031,Inwood and Washington Heights,New York County,37655.0,369800.0,56438.0,86722.0
10032,Inwood and Washington Heights,New York County,34568.0,334900.0,57331.0,87199.0
10033,Inwood and Washington Heights,New York County,41556.0,422100.0,53926.0,89201.0
10034,Inwood and Washington Heights,New York County,41171.0,354700.0,38908.0,34544.0
10040,Inwood and Washington Heights,New York County,42721.0,317300.0,41905.0,111184.0
11361,Northeast Queens,Queens County,75335.0,574200.0,28606.0,16269.0
11362,Northeast Queens,Queens County,82332.0,538000.0,17823.0,7081.0
11363,Northeast Queens,Queens County,90799.0,714200.0,6988.0,8045.0
11364,Northeast Queens,Queens County,72909.0,510800.0,34555.0,14013.0
11354,North Queens,Queens County,46566.0,380600.0,54878.0,25324.0
11355,North Queens,Queens County,41884.0,507500.0,85871.0,49492.0
